scenario,WBA2,WBA3,WBA4,WBA5,WBA6,WBA7N,WBA7S,WBA8N,WBA8S,WBA9,WBA10,WBA11,WBA12,WBA13,WBA14,WBA15N,WBA15S,WBA16,WBA17N,WBA17S,WBA18,WBA19,WBA20,WBA21,WBA22,WBA23,WBA24,WBA25,WBA26N,WBA26S,WBA50,WBA60N,WBA60S,WBA61,WBA62,WBA63,WBA64,WBA71,WBA72,WBA73,WBA90,DETAW
s0082,3.0390901639368018,2.062725587200954,2.1761587853316584,1.8275735794569288,3.017614383895315,4.171212693734828,2.3657479104537806,2.9222578394875063,2.356686505301869,1.9105817517490398,1.8546861835828032,1.4641175473394306,1.9917721451913266,1.9841561956597216,2.086699190858714,2.102445614469028,3.246806624565317,3.0037923122059436,1.4693859544308334,3.0094946028698963,3.0130953847418347,3.0741739286961414,1.6369069696618639,3.00312658776827,3.09634692050726,3.465015940540723,4.170792954405343,2.3834713482968692,3.2861770749501953,3.0588922318176883,3.018567341906158,3.197849929089492,3.1392207718727065,3.0140253862956996,3.7044139860622436,4.648612889596572,4.870496517568385,3.0231427423264945,4.163156628064132,4.54195510129157,4.97952927126569,3.016579468356159
s0083,3.0374097080099878,2.049068604177328,2.166312034477088,1.8218533355650912,3.010500164217668,3.8901585326231447,2.2734203826945785,2.735831512268824,2.256263167217919,1.849466916266127,1.8502469159538857,1.4330260319571633,1.9788388377255024,1.9813284992835447,2.0624884214135304,2.079552163979413,3.241683148675247,3.0021632231504953,1.4365019680201216,3.0041725747373587,3.005934645310401,3.0609583234057185,1.6257948815974457,3.002771352212021,3.091373154081502,3.4583287329179133,4.170729284798545,2.315329150059349,3.2812103386460256,3.052531076805515,2.854769600910141,3.188068344556368,3.122574337600733,3.004762774982197,3.6733123791429367,4.622052938145991,4.86084265473192,3.0090851931135174,3.620043707544453,4.259394146644818,4.969404107319338,2.979289924380953
s0084,3.039079543946406,2.086950840844854,2.2157821944363327,1.8622936985585836,3.048477539027982,4.547403377542429,2.6331615940088886,3.0106537171782706,2.4973943131463714,2.045632836187962,1.8995528037873406,1.4672000849136888,2.1104258977237604,2.033341121593003,2.4143950912577212,2.483720019867855,3.6655906574821113,3.0097819737856693,1.477651773127413,3.009424159292006,3.008888472410968,3.063898772173785,1.6041470543594634,3.0027047771622146,3.09691324524998,3.5640408525741183,4.152266913553267,2.137276318248965,3.285617088264193,3.0356077024545196,3.030542191300022,3.2762575801186515,3.191041784851891,1.8480520905609201,3.8699960940708116,4.733995998302024,4.903566930426684,3.0536872426632327,4.329769608964382,4.490944084001669,4.974059223628424,2.9774746383966137
s0084-R,3.039079543946406,2.086950840844854,2.2157821944363327,1.8622936985585836,3.048477539027982,4.547403377542429,2.6331615940088886,3.0106537171782706,2.4973943131463714,2.045632836187962,1.8995528037873406,1.4672000849136888,2.1104258977237604,2.033341121593003,2.4143950912577212,2.483720019867855,3.6655906574821113,3.0097819737856693,1.477651773127413,3.009424159292006,3.008888472410968,3.063898772173785,1.6041470543594634,3.0027047771622146,3.09691324524998,3.5640408525741183,4.152266913553267,2.137276318248965,3.285617088264193,3.0356077024545196,3.030542191300022,3.2762575801186515,3.191041784851891,1.8480520905609201,3.8699960940708116,4.733995998302024,4.903566930426684,3.0536872426632327,4.329769608964382,4.490944084001669,4.974059223628424,2.9774746383966137
s0085,3.0347755345307776,2.0489277946827205,2.1592616780072995,1.7902758491427584,3.0091139929200423,3.951368499316074,2.30376229185457,2.8241723581834535,2.3329674849672246,1.830473186214542,1.8271545093552897,1.4082841645734425,2.0144191404854865,2.022116680580228,2.239190982600867,2.2628662839066735,3.7496602589630856,3.003691357688808,1.417008151952478,3.007393334784597,3.010281502750842,3.077822322526254,1.5933431812440897,3.002253124189831,3.1040589300753205,3.7230729333095596,4.366053471783471,1.9517594366901339,3.2881448136255753,2.301824522602083,3.0095966775668868,3.0097549011885274,3.1182575331029887,3.0094132380963874,3.680626408509255,4.631718757687306,4.864387296311684,3.0193125065708912,3.773957924629312,4.359511158930316,4.972751024297173,2.3580939317683773
s0087,3.0501022248947405,2.1216522764268517,2.3660753568322406,1.995493195642907,3.060314076228182,4.606804271925313,2.608961794806825,3.019959143016665,2.6284356701787437,2.2832393858066515,1.9422374079565938,1.731716622490605,2.2828268454760714,2.185932681832774,2.5227071391769433,2.6084667530590817,3.668057343639,3.012691970852158,1.8569152341976707,3.0145523766161793,3.01635928514934,3.0796517251003057,1.468376544449973,3.0014773366860212,3.1177931748680763,3.692842735432847,4.336396192583539,2.3844464322007193,3.364799765120805,3.2409461217378395,3.0608529675209026,3.808853778292142,3.583091053941839,3.105450883392226,3.500966481572934,4.290759918355833,4.751874553440277,3.0170379867707497,3.3153911221284473,3.745919663418536,4.931867233236701,3.42526844670674
s0088,3.0514748473042936,2.142083943537102,2.367227094859749,2.0232338487794927,3.0621893741620387,4.616013470029608,2.6302220841465234,3.019477313549625,2.6274231853015024,2.1924105481106615,1.9495068082856566,1.5755096439595238,2.1428233744527327,2.1334295990492365,2.218227679303287,2.2492255426025194,3.3343577483580087,3.0063475387673106,1.6906007916321597,3.008050333441191,3.008402498875746,3.0727250822164294,1.4509715806858594,3.000670959350983,3.1104225931752585,3.5701111232976723,4.297253619649762,2.193564664660423,3.3475998583476616,3.03463622710833,2.223517734232327,3.0340319242830738,2.699358550106906,2.1159662290987935,3.0549779648861,3.6820279239493097,4.504400188815207,2.7345764381515374,3.0412864980597614,3.6112991674112824,4.9484084342231025,2.7150853878644132
s0089,3.049664914754565,2.108553260960341,2.258991605440089,2.2346420744098974,2.5587657370372794,2.2833817815830573,2.4127019954541984,2.2182225677879552,2.373146342448373,2.198935196811172,2.1254245070685744,1.8389075300548712,2.288851044748516,2.3362566747627094,2.227374578482401,2.274823188521705,3.004903362893136,3.0075880066374863,1.933271563259714,3.0089063466903023,3.0102044261093424,3.0652116613545934,1.9087825940412746,3.00373063066434,3.028631786086749,3.1022956775649644,3.285405217031927,1.9418157369605118,3.0108982149568577,2.683461250087341,2.2422320381108856,2.906739077384837,2.6490184084487796,2.106158972899371,3.054958178601536,3.6784208900912843,4.499550034838883,2.771723804736566,3.028114892329658,3.5901423587480172,4.946788991012112,2.1871295240858153
s0091,3.050824576180419,2.119241406268431,2.386283492985062,2.063431538123387,3.0676128846151056,4.632124129710126,2.6219842829712077,3.0229251016087875,2.570520225940685,2.413996555078171,2.0258423637098373,1.9840279094538085,2.3334007292860974,2.1729079769802326,2.5392273143260553,2.648192865703267,3.6638490477190437,3.0147884350083443,2.0905687373554676,3.0144176541580388,3.014163719989119,3.0785105324517343,1.3598334034552446,3.0010124423194573,3.1104914271640776,3.6643658069760345,4.26952993281829,1.8706884737796554,3.3041905980045736,3.0284581623051725,3.0224754089790324,3.24902390181477,3.216817600461363,3.0267044478396903,3.8762966775969807,4.687535691784699,4.88790807911335,3.0229499768138903,3.694552372366886,4.273456381539702,4.970467857831167,3.038624691979976
s0092,3.066487360151773,2.230612223054126,2.420377054699646,2.1532146892836925,3.0983978492391264,4.746689915295045,3.027812264693733,3.116632510172319,3.1702317724399305,3.0042731094030932,2.0771367690826548,2.1308751328639373,2.291905864414931,2.2106445345645422,2.502011730938266,2.598611816940874,3.6305103322112973,3.0274549030327313,2.293410632661381,3.072409567728314,3.118221786066101,3.30779153129879,1.501147631419141,3.0079839414746252,3.160410616906854,3.6739644838247965,4.259083349294647,2.1358380403763695,3.3096821460039503,3.057040491035144,3.1419437010821745,3.4102806568195536,3.408538897382743,3.0397507182399863,4.210513028002674,4.809769687801069,4.9154318525687835,3.09628871455117,4.552717606531301,4.607315171260787,4.979786118742713,3.256136768444424
s0092-R,3.066487360151773,2.230612223054126,2.420377054699646,2.1532146892836925,3.0983978492391264,4.746689915295045,3.027812264693733,3.116632510172319,3.1702317724399305,3.0042731094030932,2.0771367690826548,2.1308751328639373,2.291905864414931,2.2106445345645422,2.502011730938266,2.598611816940874,3.6305103322112973,3.0274549030327313,2.293410632661381,3.072409567728314,3.118221786066101,3.30779153129879,1.501147631419141,3.0079839414746252,3.160410616906854,3.6739644838247965,4.259083349294647,2.1358380403763695,3.3096821460039503,3.057040491035144,3.1419437010821745,3.4102806568195536,3.408538897382743,3.0397507182399863,4.210513028002674,4.809769687801069,4.9154318525687835,3.09628871455117,4.552717606531301,4.607315171260787,4.979786118742713,3.256136768444424
s0093,3.0591384699785427,2.252320577759682,2.3050130115306966,2.374659569980327,3.0115370814746703,2.827018227982058,2.810343562536832,2.9627240863711126,2.805221791306066,3.001153804285964,2.3160961749906397,2.4981433126764996,2.508798062616817,2.477853583560128,2.5775393288638027,2.670339302521291,3.2086968877361275,3.0158723831770673,2.8587970858837704,3.018780228367213,3.022328086487099,3.0744004226076123,2.0864553042996263,3.0057716173127207,3.0351108377633778,3.132562567613277,3.267287432211314,1.8646377517666592,3.02458930819598,2.8482735836382176,3.0117876221824584,3.1367008385964574,3.0524477052450694,1.3792911449941196,3.0875751443247346,4.176401250463813,4.790244868960408,3.029897191157034,4.0123859442913385,4.259077936584591,4.961273733822823,2.2345780850510506
