scenario_short_code,tier_short_code,location_type,location_id,location_name,tier_level,tier_value,display_order
s0020,AG_REV,demand_unit,25_PA1,25_PA1,2,,70
s0020,AG_REV,demand_unit,25_PA2,25_PA2,2,,71
s0020,AG_REV,demand_unit,26N_NA,26N_NA,1,,72
s0020,AG_REV,demand_unit,26S_NA,26S_NA,1,,73
s0020,AG_REV,demand_unit,50_PA1,50_PA1,3,,74
s0020,AG_REV,demand_unit,50_PA2,50_PA2,1,,75
s0020,AG_REV,demand_unit,60N_NA1,60N_NA1,2,,76
s0020,AG_REV,demand_unit,60N_NA2,60N_NA2,1,,77
s0020,AG_REV,demand_unit,60N_NA3,60N_NA3,2,,78
s0020,AG_REV,demand_unit,60N_NA4,60N_NA4,2,,79
s0020,AG_REV,demand_unit,60N_NA5,60N_NA5,1,,80
s0020,AG_REV,demand_unit,60S_NA1,60S_NA1,1,,81
s0020,AG_REV,demand_unit,60S_NA2,60S_NA2,1,,82
s0020,AG_REV,demand_unit,60S_PA1,60S_PA1,2,,83
s0020,AG_REV,demand_unit,60S_PA2,60S_PA2,3,,84
s0020,AG_REV,demand_unit,61_NA1,61_NA1,1,,85
s0020,AG_REV,demand_unit,61_NA2,61_NA2,2,,86
s0020,AG_REV,demand_unit,61_NA3,61_NA3,1,,87
s0020,AG_REV,demand_unit,61_NA4,61_NA4,1,,88
s0020,AG_REV,demand_unit,61_NA5,61_NA5,1,,89
s0020,AG_REV,demand_unit,61_NA6,61_NA6,1,,90
s0020,AG_REV,demand_unit,61_PA1,61_PA1,2,,91
s0020,AG_REV,demand_unit,61_PA2,61_PA2,2,,92
s0020,AG_REV,demand_unit,61_PA3,61_PA3,2,,93
s0020,AG_REV,demand_unit,62_NA1,62_NA1,1,,94
s0020,AG_REV,demand_unit,62_NA2,62_NA2,1,,95
s0020,AG_REV,demand_unit,62_NA3,62_NA3,2,,96
s0020,AG_REV,demand_unit,62_NA4,62_NA4,1,,97
s0020,AG_REV,demand_unit,62_NA5,62_NA5,1,,98
s0020,AG_REV,demand_unit,62_NA6,62_NA6,4,,99
s0020,AG_REV,demand_unit,63_NA1,63_NA1,1,,100
s0020,AG_REV,demand_unit,63_NA2,63_NA2,1,,101
s0020,AG_REV,demand_unit,63_NA3,63_NA3,3,,102
s0020,AG_REV,demand_unit,63_NA4,63_NA4,1,,103
s0020,AG_REV,demand_unit,64_NA1,64_NA1,1,,104
s0020,AG_REV,demand_unit,64_NA2,64_NA2,1,,105
s0020,AG_REV,demand_unit,64_PA1,64_PA1,3,,106
s0020,AG_REV,demand_unit,64_PA2,64_PA2,3,,107
s0020,AG_REV,demand_unit,64_PA3,64_PA3,3,,108
s0020,AG_REV,demand_unit,64_XA,64_XA,2,,109
s0020,AG_REV,demand_unit,71_NA1,71_NA1,1,,110
s0020,AG_REV,demand_unit,71_NA2,71_NA2,1,,111
s0020,AG_REV,demand_unit,71_PA1,71_PA1,4,,112
s0020,AG_REV,demand_unit,71_PA2,71_PA2,1,,113
s0020,AG_REV,demand_unit,71_PA3,71_PA3,4,,114
s0020,AG_REV,demand_unit,71_PA4,71_PA4,1,,115
s0020,AG_REV,demand_unit,71_PA5,71_PA5,4,,116
s0020,AG_REV,demand_unit,71_PA6,71_PA6,4,,117
s0020,AG_REV,demand_unit,71_PA7,71_PA7,1,,118
s0020,AG_REV,demand_unit,71_PA8,71_PA8,4,,119
s0020,AG_REV,demand_unit,72_NA1,72_NA1,1,,120
s0020,AG_REV,demand_unit,72_NA2,72_NA2,1,,121
s0020,AG_REV,demand_unit,72_PA,72_PA,1,,122
s0020,AG_REV,demand_unit,72_XA1,72_XA1,2,,123
s0020,AG_REV,demand_unit,72_XA2,72_XA2,1,,124
s0020,AG_REV,demand_unit,72_XA3,72_XA3,2,,125
s0020,AG_REV,demand_unit,73_NA,73_NA,1,,126
s0020,AG_REV,demand_unit,73_PA1,73_PA1,4,,127
s0020,AG_REV,demand_unit,73_PA2,73_PA2,2,,128
s0020,AG_REV,demand_unit,73_PA3,73_PA3,4,,129
s0020,AG_REV,demand_unit,73_XA,73_XA,2,,130
s0020,AG_REV,demand_unit,90_PA1,90_PA1,4,,131
s0020,AG_REV,demand_unit,90_PA2,90_PA2,3,,132
s0020,CWS_DEL,demand_unit,02_NU,02_NU,1,,1
s0020,CWS_DEL,demand_unit,02_PU,02_PU,1,,2
s0020,CWS_DEL,demand_unit,02_SU,02_SU,1,,3
s0020,CWS_DEL,demand_unit,03_NU,03_NU,1,,4
s0020,CWS_DEL,demand_unit,03_PU1,03_PU1,1,,5
s0020,CWS_DEL,demand_unit,03_PU2,03_PU2,1,,6
s0020,CWS_DEL,demand_unit,03_SU,03_SU,1,,7
s0020,CWS_DEL,demand_unit,04_NU1,04_NU1,1,,8
s0020,CWS_DEL,demand_unit,04_NU2,04_NU2,1,,9
s0020,CWS_DEL,demand_unit,05_NU,05_NU,1,,10
s0020,CWS_DEL,demand_unit,06_NU,06_NU,1,,11
s0020,CWS_DEL,demand_unit,07N_NU,07N_NU,1,,12
s0020,CWS_DEL,demand_unit,07S_NU,07S_NU,1,,13
s0020,CWS_DEL,demand_unit,08N_NU,08N_NU,1,,14
s0020,CWS_DEL,demand_unit,08S_NU,08S_NU,1,,15
s0020,CWS_DEL,demand_unit,09_NU,09_NU,1,,16
s0020,CWS_DEL,demand_unit,10_NU1,10_NU1,1,,17
s0020,CWS_DEL,demand_unit,10_NU2,10_NU2,1,,18
s0020,CWS_DEL,demand_unit,11_NU1,11_NU1,1,,19
s0020,CWS_DEL,demand_unit,11_NU2,11_NU2,1,,20
s0020,CWS_DEL,demand_unit,12_NU1,12_NU1,1,,21
s0020,CWS_DEL,demand_unit,12_NU2,12_NU2,1,,22
s0020,CWS_DEL,demand_unit,13_NU1,13_NU1,1,,23
s0020,CWS_DEL,demand_unit,13_NU2,13_NU2,4,,24
s0020,CWS_DEL,demand_unit,14_NU,14_NU,1,,25
s0020,CWS_DEL,demand_unit,15N_NU,15N_NU,1,,26
s0020,CWS_DEL,demand_unit,15S_NU,15S_NU,1,,27
s0020,CWS_DEL,demand_unit,16_NU,16_NU,1,,28
s0020,CWS_DEL,demand_unit,16_PU,16_PU,1,,29
s0020,CWS_DEL,demand_unit,17N_NU,17N_NU,1,,30
s0020,CWS_DEL,demand_unit,17S_NU,17S_NU,1,,31
s0020,CWS_DEL,demand_unit,18_NU,18_NU,1,,32
s0020,CWS_DEL,demand_unit,19_NU,19_NU,1,,33
s0020,CWS_DEL,demand_unit,20_NU1,20_NU1,1,,34
s0020,CWS_DEL,demand_unit,20_NU2,20_NU2,1,,35
s0020,CWS_DEL,demand_unit,21_PU,21_PU,1,,36
s0020,CWS_DEL,demand_unit,22_NU,22_NU,1,,37
s0020,CWS_DEL,demand_unit,23_NU,23_NU,1,,38
