scenario,WBA2,WBA3,WBA4,WBA5,WBA6,WBA7N,WBA7S,WBA8N,WBA8S,WBA9,WBA10,WBA11,WBA12,WBA13,WBA14,WBA15N,WBA15S,WBA16,WBA17N,WBA17S,WBA18,WBA19,WBA20,WBA21,WBA22,WBA23,WBA24,WBA25,WBA26N,WBA26S,WBA50,WBA60N,WBA60S,WBA61,WBA62,WBA63,WBA64,WBA71,WBA72,WBA73,WBA90,DETAW
s0092,3.048418218,2.230760334,2.339187135,2.045399797,3.04243161,4.999,2.902965074,3.017792053,2.887054711,1.815396909,1.905045295,1.628495858,2.420504036,2.358395491,2.655786719,2.750640426,3.44281258,3.021607815,1.557156381,3.011589051,1.500065121,3.10591257,1.901674101,3.00814682,3.109463943,3.628419724,4.999,2.221921112,3.167897981,3.026760617,3.11072361,3.383815763,3.261446219,2.880486833,3.951959608,4.999,4.999,3.098242405,4.999,4.999,4.999,3.130000844
s0093,3.048582823,2.351569495,2.258774622,2.572173434,2.979123774,2.794964826,2.709474897,2.552372732,2.594584189,1.998501011,2.156832806,1.478001804,2.572611474,2.593313668,2.829195647,2.910755028,3.10154925,3.018825476,1.446494444,3.01763883,3.015992315,3.068728889,2.604644483,3.012003948,3.082315684,3.236536714,3.212396375,2.049673066,1.500634181,2.778952555,2.700266354,3.118841127,2.732084774,1.326783329,1.500274726,4.999,4.999,3.036825498,4.999,4.999,4.999,2.101790866
s0094,3.047567629,2.253144335,2.250692849,2.445511249,2.732050708,2.754908483,2.818659704,2.69100896,2.831403781,2.139908683,2.123993379,1.715045795,2.678954935,2.787533512,2.785101002,2.896682575,3.091578192,3.026209968,1.607131978,3.020474274,3.006914555,3.100771953,2.787570471,3.010404885,3.066590236,3.219873355,3.169905219,1.967654576,1.500619637,2.232898325,3.012777183,2.636067674,2.526431628,1.402393903,1.500599353,4.999,4.999,3.059494895,4.999,4.999,4.999,1.916978472
s0095,3.035056255,2.183566709,2.289645491,1.930877018,3.001326913,4.999,2.547644701,2.598904466,2.428178446,1.600105501,1.858167154,1.419513949,2.142889622,2.06238511,2.464520662,2.507171561,3.426436763,1.500042509,1.402436042,1.500065728,1.500063262,3.053178865,1.67268449,3.003602147,3.127699426,3.611349454,4.999,2.210840667,3.22007483,3.087840148,3.019111108,3.396281322,3.169588232,3.031115962,3.990233276,4.999,4.999,3.040984934,4.999,4.999,4.999,3.037791481
s0097,3.03528636,2.186436899,2.287986139,1.934832651,3.000830781,4.999,2.54887579,2.605713835,2.438564159,1.618566705,1.844660571,1.423558129,2.091301061,2.023805007,2.401643293,2.453257394,3.408193666,1.500032735,1.400100086,1.500047205,1.500038324,3.054288587,1.656402107,3.003279575,3.121801984,3.590051681,4.999,2.088757211,3.203165894,3.0687255,3.017889448,3.38710448,3.168753912,3.030223002,3.983765784,4.999,4.999,3.039120542,4.999,4.999,4.999,3.023658765
s0098,1.502532772,3.133676365,2.829764621,3.217371966,2.980227439,4.999,3.054754973,2.435737188,3.751094251,1.80371137,4.999,4.999,4.999,4.999,4.999,4.999,4.999,1.500548555,3.320741119,4.999,3.216620997,4.999,2.899390311,1.500007731,1.50020565,3.062501492,3.00150253,3.005041949,3.004694064,2.958898042,3.022403319,3.003777503,3.038310722,4.999,4.999,4.999,4.999,3.142314928,2.999536657,3.00157166,3.010824761,2.984269645
s0099,1.50261247,3.063062516,2.749323464,2.786430834,2.821209225,3.857008125,3.015309391,2.356710339,3.740292576,1.435158591,4.999,4.999,4.999,4.999,4.999,4.999,4.999,1.500582555,3.301192787,4.999,3.214744232,4.999,2.888572743,1.500016871,1.50032408,1.50004028,1.500001982,3.003709672,3.001442116,2.95509562,3.019776378,3.003695412,3.037171333,4.999,4.999,4.999,4.999,3.14221343,2.999519266,3.00145908,3.010608181,2.982415268
s0100,1.502561487,3.095581198,2.80660676,2.418963358,2.782213144,3.81180963,3.009334022,2.470075519,3.738442931,1.604743911,4.999,4.999,4.999,4.999,4.999,4.999,4.999,1.500557996,3.307868101,4.999,3.21517785,4.999,2.89227083,1.500013877,1.500242754,1.50010258,1.500003985,3.003422643,3.000948409,2.961586882,3.021073172,3.003680629,3.037755723,4.999,4.999,4.999,4.999,3.142224241,2.999533812,3.001496784,3.010688117,2.983627619
s0101,1.502560695,3.124093267,2.786016235,3.05764184,2.840910029,3.886024179,3.025148586,2.298324981,3.753407644,1.569663656,4.999,4.999,4.999,4.999,4.999,4.999,4.999,1.500563494,3.315934399,4.999,3.215537304,4.999,2.900565877,1.500008412,1.500283379,3.01550452,3.000140039,3.003950534,3.002200582,2.950290784,3.021592211,3.003759337,3.038472074,4.999,4.999,4.999,4.999,3.142327235,2.999529593,3.001582712,3.010698589,2.98335183
s0102,3.041854071,2.199399638,2.312138786,1.97336825,3.013823208,4.999,2.69036492,2.863445813,2.592020567,1.608613228,1.859769022,1.471393408,2.099729485,2.032902986,2.38066779,2.456691599,3.415143217,1.500004874,1.432251373,1.500146317,1.500262746,1.500077717,1.707271468,3.004143414,3.104485886,3.578951958,4.999,2.298320055,3.207461459,3.107595197,3.033303096,3.429251341,3.188706139,3.036589034,3.983944117,4.999,4.999,3.041509643,4.999,4.999,4.999,3.082967636
