scenario,S_SHSTA_Storage_Tier,S_TRNTY_Storage_Tier,S_OROVL_Storage_Tier,S_FOLSM_Storage_Tier,S_MELON_Storage_Tier,S_MLRTN_Storage_Tier,S_SLUIS_CVP_Storage_Tier,S_SLUIS_SWP_Storage_Tier
s0137,1.8000000000000005,1.9285714285714288,2.181818181818182,1.7428571428571429,1.3,4.358695652173913,2.545454545454546,4.119565217391305
s0138,1.7571428571428571,1.942857142857143,1.9857142857142855,1.657142857142857,1.4285714285714286,2.636363636363637,1.9714285714285715,4.054347826086956
s0139,1.8000000000000005,1.9714285714285715,2.090909090909091,1.7000000000000002,1.414285714285714,2.636363636363637,1.8285714285714287,3.3125
s0140,1.7285714285714286,1.942857142857143,1.957142857142857,1.657142857142857,1.4285714285714286,2.636363636363637,1.9285714285714284,4.043478260869565
s0141,1.7714285714285716,1.9285714285714288,1.942857142857143,1.7000000000000002,1.414285714285714,2.590909090909092,1.7000000000000002,2.8636363636363646
s0143,1.6285714285714286,1.5,1.6857142857142855,1.4285714285714286,1.1714285714285717,3.125,2.363636363636364,4.239130434782608
s0144,4.119565217391305,4.021739130434782,1.842857142857143,1.6142857142857143,3.312500000000001,3.3125,1.5,1.999999
s0145,4.184782608695652,4.336956521739131,4.021739130434782,3.8125,2.5000000000000004,4.108695652173913,1.657142857142857,2.363636363636364
s0146,3.999999,3.5625,1.7714285714285716,1.585714285714286,1.9857142857142855,2.727272727272728,1.1,1.7285714285714286
s0147,1.842857142857143,1.9571428571428573,2.181818181818182,1.7285714285714286,1.4285714285714286,3.0625,3.1875,4.380434782608695
s0149,1.8142857142857145,1.9571428571428573,1.999999,1.7285714285714286,1.4285714285714286,3.0625,2.9545454545454555,4.119565217391305
s0150,1.8000000000000005,1.9,2.2272727272727275,1.9571428571428573,1.2857142857142858,4.369565217391305,4.130434782608695,4.065217391304348
s0151,1.6857142857142855,1.8571428571428568,1.9,1.7000000000000002,1.2857142857142858,4.369565217391305,2.727272727272728,2.681818181818182
s0152,1.6857142857142855,1.8714285714285717,1.9857142857142855,1.7857142857142858,1.2857142857142858,4.369565217391305,2.999999,2.7272727272727275
s0153,1.7428571428571429,1.9,2.1818181818181825,1.9,1.2857142857142858,4.369565217391305,4.010869565217392,3.437500000000001
s0154,1.7857142857142856,1.9285714285714288,2.181818181818182,1.657142857142857,1.4285714285714286,3.25,1.6571428571428573,3.375
s0155,1.7857142857142858,1.9571428571428573,2.0454545454545454,1.7000000000000002,1.4285714285714286,3.0625,2.636363636363637,4.065217391304348
s0156,4.163043478260869,4.3478260869565215,3.625,3.8125,3.3125,4.206521739130435,1.6,2.181818181818182
s0157,1.7571428571428571,1.9714285714285715,2.181818181818182,1.7285714285714286,1.5285714285714285,3.125,3.375000000000001,2.0454545454545454
