id,du_id,wba_id,hydrologic_region,dups,du_class,cs3_type,total_acres,polygon_count,community_agency,gw,sw,point_of_diversion,source,model_source,has_gis_data,primary_contractor_short_code,is_active,created_at,created_by,updated_at,updated_by,hydrologic_region_id,model_source_id
218,ESB420,,SOD,,Urban,PU,,0,San Gorgonio Pass WA - East Branch delivery,0,1,East Branch SWP,tier_matrix,calsim3,False,GRGNO,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,2,1
219,GDPUD_NU,,SAC,,Urban,NU,,0,Georgetown Divide PUD,0,1,Pilot Creek,tier_matrix,calsim3,False,,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
220,MWD,,SOD,,Urban,PU,,0,Metropolitan Water District of Southern California,0,1,"East Branch SWP, West Branch SWP",tier_matrix,calsim3,False,MWD,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,2,1
221,NAPA2,,SAC,,Urban,NU,,0,Lake Berryessa communities,1,1,Lake Berryessa,tier_matrix,calsim3,False,,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
222,PCWA3,,SAC,,Urban,NU,,0,"Placer County WA - Alta, Dutch Flat, Colfax, Applegate, Meadow Vista",0,1,Lower Boardman Canal,tier_matrix,calsim3,False,,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
223,SBA029,,SOD,,Urban,PU,,0,Alameda County WD - South Bay Aqueduct delivery,0,1,South Bay Aqueduct,tier_matrix,calsim3,False,ACWD,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,2,1
224,SBA036,,SOD,,Urban,PU,,0,Santa Clara Valley WD - South Bay Aqueduct delivery,0,1,South Bay Aqueduct,tier_matrix,calsim3,False,SCVWD,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,2,1
225,SCVWD,,SOD,,Urban,PU,,0,Santa Clara Valley Water District,0,1,South Bay Aqueduct,tier_matrix,calsim3,False,SCVWD,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,2,1
226,72_PU,72,SJR,0,Urban,PU,,1,,,,,,calsim3,False,,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,2,1
232,60N_PU1,60N,SJR,0,Urban,PU,,1,Mokelumne River Area Project Urban,0,1,Folsom South Canal,,calsim3,False,,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,2,1
233,60S_PU,60S,SJR,0,Urban,PU,,1,Calaveras/Stanislaus Area Project Urban,0,1,,,calsim3,False,,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,2,1
234,61_PU1,61,SJR,0,Urban,PU,,1,"Tuolumne/Merced Area Project Urban (Modesto, Turlock)",0,1,"Multiple WTPs: Modesto, Don Pedro, Turlock",,calsim3,False,,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,2,1
235,61_PU2,61,SJR,0,Urban,PU,,1,Tuolumne/Merced Area Project Urban 2,0,1,Multiple WTPs,,calsim3,False,,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,2,1
236,64_PU,64,TULARE,0,Urban,PU,,1,Fresno/Kings Area Project Urban,1,1,,,calsim3,False,,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,4,1
237,65_PU,65,TULARE,0,Urban,PU,,1,Kaweah/Tule Area Project Urban,1,1,,,calsim3,False,,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,4,1
238,70_PU1,70,TULARE,0,Urban,PU,,1,Kern County Area Project Urban (Bakersfield metro),1,1,"Cross Valley Canal, California Aqueduct, Kern River",,calsim3,False,,True,2026-02-04 11:23:31.854544+00:00,2,2026-03-14 22:18:34.503785+00:00,2,4,1
