id,short_code,network_id,river,from_node,to_node,shape_length_m,model_source_id,source_id,network_version_id,is_active,created_at,created_by,updated_at,updated_by
1577,D_SPLDG_DRM000,3141,SPLDG,SPLDG,DRM000,1395.77606888863,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1578,D_SPLDG_SYC000,3144,SPLDG,SPLDG,SYC000,331.660327174781,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1579,D_SSJ004_NMC000,3147,SSJ,SSJ004,NMC000,136.645641124856,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1580,D_SSR030_PHP000,3148,SSR,SSR030,PHP000,80.0953867394992,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1581,D_STH000_ABN027,3149,STH,STH000,ABN027,422.143450391046,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1582,D_STH004_24_NA3,3154,STH,STH004,24_NA3,4562.35278206665,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1583,D_STH004_WTPFSS,3155,STH,STH004,WTPFSS,886.240699999034,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1584,D_STH005_MRM001,3157,STH,STH005,MRM001,2090.88481863563,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1585,D_STN004_GCC007,3159,STN,STN004,GCC007,1984.51320000086,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1586,D_STN014_TCC031,3160,STN,STN014,TCC031,2153.78239999991,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1587,D_STN021_06_PA,3161,STN,STN021,06_PA,9210.3166845105,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
1588,D_STN026_06_PA,3162,STN,STN026,06_PA,13677.0888311613,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
