page,col1,col2,col3,col4,col5,col6
7,Small communities,Self-supplied,N/A,•,-,
7,Turlock,City of Turlock,5010019,•,-,
7,Ceres,"City of Ceres, City of Modesto",5010028,•,-,
7,Delhi,Delhi CWD,2410006,•,-,
7,Hilmar,Hilmar County WD,2410012,•,-,
7,Hughson,City of Hughson,5010008,•,-,
7,Keyes,Keyes CSD,5010009,•,-,
7,Denair,Denair CSD,5010021,•,-,
7,Small communities,Self-supplied,N/A,•,-,
8,"Cities, Towns, and
Communities","Water Agency
Retail (Wholesale)","ID2,3,4",,,
8,,,,GW,SW,
8,Merced,City of Merced,2410009,•,-,
8,Atwater,City of Atwater,2410001,•,-,
8,Livingston,City of Livingston,2410004,•,-,
8,Winton,Winton WSD,2410010,•,-,
8,Planada,Planada CSD,2410007,•,-,
8,LeGrand,LeGrand CSD,2410011,•,-,
8,Small communities,Self-supplied,N/A,•,-,
8,Madera,City of Madera,2010002,•,-,
8,Chowchilla,City of Chowchilla,2010001,•,-,
8,Madera Acres,Madera Valley WC,2010010,•,-,
8,Valley State Prison for Women,California State Prisons,2010801,•,-,
8,Small communities,Self-supplied,N/A,•,-,
8,Patterson,City of Patterson,5010017,•,-,
8,Small communities,Self-supplied,N/A,•,-,
8,Musco Olive Products,Musco Olive Products,"Non-potable
water use",-,•,
8,Veterans Affairs Cemetery,U.S. Department of Veterans Affairs,"Non-potable
water use",-,•,
8,Gustine,City of Gustine,2410003,•,-,
8,Firebaugh,City of Firebaugh,1010005,•,-,
8,Los Banos,City of Los Banos,2410005,•,-,
8,Newman,City of Newman,5010013,•,-,
8,Small communities,Self-supplied,N/A,•,-,
8,Dos Palos,"North Dos Palos WD, South Dos Palos
CWD",2410002,•,-,
8,Small communities,Self-supplied,N/A,•,-,
8,Avenal,City of Avenal,1610002,-,•,
8,Coalinga,City of Coalinga,1010004,-,•,
8,Huron,City of Huron,1010044,-,•,
9,"Cities, Towns, and
Communities","Water Agency
Retail (Wholesale)","ID2,3,4",,,
9,,,,GW,SW,
9,Ione Creek,Amador WA,310002,-,•,
9,Sutter Creek,Amador WA,310003,-,•,
9,Small communities,Amador WA,N/A,-,•,
9,"Bay Point, Clayton, Clyde,
Concord, Oakley, Pittsburg,
Port Costa24",Contra Costa Water District,710003,-,•,
9,Murphys,Union PUD,510001,-,•,
9,"Berkeley, Oakland,
Richmond, Walnut Creek6",East Bay Municipal Utility District,11005,-,•,
9,Jenny Lind/Valley Springs,Calaveras County WD,510006,-,•,
9,Mokelumne Hill,Calaveras PUD,510002,-,•,
9,City of Angels,Union PUD,510003,-,•,
9,West Point,Calaveras County WD,510005,-,•,
