network_arc_id,short_code,name,description,subtype,entity_type_id,schematic_type_id,hydrologic_region_id,boundary_condition,from_node,to_node,length_m,has_tiers,is_main,has_gis_data,entity_version_id,source_ids,watershed_short_code,unimp_sv_variable,has_mif,has_eflows,channel_class
C_ENGLB,Yuba River,,Stream,2,1,1,,ENGLB,YUB024,664.184236965363,,,1,1,1,"{1,3,4}",,,false,false,
C_ESB306,,,,2,1,,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_ESB324,,,,2,1,,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_ESB347,,,,2,1,,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_ESB355,,,,2,1,,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_ESB361,,,,2,1,,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_ESB403,,,,2,1,,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_ESB406,,,,2,1,,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_ESB407,,,,2,1,,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_ESB408,,,,2,1,,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_ESB413,,,,2,1,,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_ESB414,,,,2,1,,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_ESB415,,,,2,1,,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_ESB420,,,,2,1,,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_ESB425,,,,2,1,,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_ESB433,,,,2,1,,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_ESC000,Eastside Canal,,Canal,2,1,2,,ESC000,EBP042,7708.48113996634,,,1,1,1,"{1,3,4}",,,false,false,
C_ESL010,Edgar Slough/Cherokee Creek,,Stream,2,1,1,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_ESTMN,Chowchilla River,,Stream,2,1,2,,ESTMN,CHW037,662.437312209226,,,1,1,1,"{1,3,4}",,,false,false,
C_FCS006,French Camp Slough,,Stream,2,1,2,,FCS006,SJR043,9076.6618320037,,,1,1,1,"{1,3,4}",,,false,false,
C_FDC006,French Dry Creek,,Stream,2,1,1,,FDC006,YUB014,9656.06388384654,,,1,1,1,"{1,3,4}",,,false,false,
C_FMT002,French Meadows Powerhouse Tailrace,,Canal,2,1,1,,FMT002,RUB032,461.535667148904,,,1,1,1,"{1,3,4}",,,false,false,
C_FPT000,Forbestown Tunnel,,,2,1,1,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_FRDYC,Fordyce Creek,,Stream,2,1,1,,FRDYC,FDC011,264.55766426607,,,1,1,1,"{1,3,4}",,,false,false,
C_FRNCH,Little Last Chance Creek,,Stream,2,1,1,,FRNCH,LLC007,95.2821169132592,,,1,1,1,"{1,3,4}",,,false,false,
C_FRS020,Fresno River,,Stream,2,1,2,,FRS020,FRS016,6437.38884046895,,,1,1,1,"{1,3,4}",,,false,false,
C_FRS025,Fresno River,,Stream,2,1,2,,FRS025,FRS022,4970.81066703894,,,1,1,1,"{1,3,4}",,,false,false,
C_FRS036,Fresno River,,Stream,2,1,2,,FRS036,FRS032,6483.25086877578,,,1,1,1,"{1,3,4}",,,false,false,
C_FRS045,Fresno River,,Stream,2,1,2,,FRS045,FRS039,8046.736166792,,,1,1,1,"{1,3,4}",,,false,false,
C_FRS048,Fresno River,,Canal,2,1,2,,FRS048,FRS046,3405.50150408306,,,1,1,1,"{1,3,4}",,,false,false,
C_FSC013,Folsom South Canal,,Canal,2,1,1,,FSC013,FSC015,3922.02889408081,,,1,1,1,"{1,3,4}",,,false,false,
C_FSC025,Folsom South Canal,,Canal,2,1,2,,FSC025,FSC027,2868.46047413799,,,1,1,1,"{1,3,4}",,,false,false,
C_FSL012,Fresno Slough,,Stream,2,1,2,,FSL012,FSL005,11426.9880267386,,,1,1,1,"{1,3,4}",,,false,false,
C_FTR008,Feather River,,Stream,2,1,1,,FTR008,FTR003,8046.71997680753,,,1,1,1,"{1,3,4}",,,false,false,
C_FTR014,Feather River,,Stream,2,1,1,,FTR014,FTR012,1793.23846241107,,,1,1,1,"{1,3,4}",,,false,false,
C_FTR018,Feather River,,Stream,2,1,1,,FTR018,FTR016,4265.32452128515,,,1,1,1,"{1,3,4}",,,false,false,
C_FTR025,Feather River,,Stream,2,1,1,,FTR025,FTR021,6157.68706187051,,,1,1,1,"{1,3,4}",,,false,false,
C_FTR029,Feather River,,Stream,2,1,1,SAC,FTR029,FTR028,1503.90483846209,,,1,1,1,"{1,3,4}",UPPER_FEATHER,UNIMP_OROV,true,true,stream
C_FTR031,Feather River,,Stream,2,1,1,,FTR031,FTR030,414.717475664069,,,1,1,1,"{1,3,4}",,,false,false,
C_FTR039,Feather River,,Stream,2,1,1,,FTR039,FTR036,5400.3362316006,,,1,1,1,"{1,3,4}",,,false,false,
C_FTR048,Feather River,,Stream,2,1,1,,FTR048,FTR045,5134.88889580415,,,1,1,1,"{1,3,4}",,,false,false,
C_FTR053,Feather River,,Stream,2,1,1,,FTR053,FTR051,3218.52379899436,,,1,1,1,"{1,3,4}",,,false,false,
C_FTR059_DELTA,Feather River Delta,,,2,1,1,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_FTR063,Feather River,,Stream,2,1,1,,FTR063,FTR059,6178.4407374894,,,1,1,1,"{1,3,4}",,,false,false,
C_FTR068,Feather River downstream of Thermalito Diversion Dam,,Stream,2,1,1,SAC,FTR068,FTR067,949.864727351537,,,1,1,1,"{1,3,4}",UPPER_FEATHER,UNIMP_OROV,false,false,stream
C_FTR074,Feather River,,Stream,2,1,1,,FTR074,OROVL,2615.07590233993,,,1,1,1,"{1,3,4}",,,false,false,
C_GCC010,Glenn Colusa Canal,,Canal,2,1,1,,GCC010,GCC015,8046.72003493417,,,1,1,1,"{1,3,4}",,,false,false,
C_GCC022,Glenn Colusa Canal,,Canal,2,1,1,,GCC022,GCC027,8046.72001941126,,,1,1,1,"{1,3,4}",,,false,false,
C_GCC032,Glenn Colusa Canal,,Canal,2,1,1,,GCC032,GCC036,6488.12156132075,,,1,1,1,"{1,3,4}",,,false,false,
C_GCC039,Glenn Colusa Canal,,Canal,2,1,1,,GCC039,GCC042,4827.90648952306,,,1,1,1,"{1,3,4}",,,false,false,
C_GCC046,Glenn Colusa Canal,,Canal,2,1,1,,GCC046,GCC050,6437.37600846241,,,1,1,1,"{1,3,4}",,,false,false,
C_GCC056,Glenn Colusa Canal,,Canal,2,1,1,,GCC056,GCC060,7125.47360254253,,,1,1,1,"{1,3,4}",,,false,false,
C_GCC065,Glenn Colusa Canal,,Canal,2,1,1,,GCC065,CBD031,4401.55433428559,,,1,1,1,"{1,3,4}",,,false,false,
C_GFT003,Grizzly Forebay Tunnel,,,2,1,1,,GFT003,NFF038,401.74292249746,,,1,1,1,"{1,3,4}",,,false,false,
C_GRT003,Grizzly Tunnel,,Canal,2,1,1,,GRT003,GZL009,67.204377519138,,,1,1,1,"{1,3,4}",,,false,false,
C_GZL007,Grizzly Creek,,Stream,2,1,1,,GZL007,NFF034,11687.4047181693,,,1,1,1,"{1,3,4}",,,false,false,
C_GZL009,Grizzly Creek,,Stream,2,1,1,,GZL009,GZL008,1154.17297138022,,,1,1,1,"{1,3,4}",,,false,false,
C_HKC002,Hendricks Canal,,Canal,2,1,1,,HKC002,TTC000,9877.6184658564,,,1,1,1,"{1,3,4}",,,false,false,
C_HON004,South Honcut Creek,,Stream,2,1,1,,HON004,FTR045,6011.52341626476,,,1,1,1,"{1,3,4}",,,false,false,
C_HTCHY,Tuolumne River below Hetch Hetchy to USGSS gage 11276500,,Stream,2,1,2,,HTCHY,TUO116,1773.39994697668,,,1,1,1,"{1,3,4}",,,false,false,
C_IHT002,Ice House Powerhouse Tailrace,,Stream,2,1,1,,IHT002,UNVLY,6102.39718561876,,,1,1,1,"{1,3,4}",,,false,false,
C_ING008,Ingram Creek,,Stream,2,1,2,,ING008,SJR075,16475.2563626973,,,1,1,1,"{1,3,4}",,,false,false,
C_JBC002,Joint Board Canal,,Canal,2,1,1,,JBC002,JBC004,3631.97016254919,,,1,1,1,"{1,3,4}",,,false,false,
C_JBC008,Joint Board Canal,,Canal,2,1,1,,JBC008,SEC009,10007.7072006181,,,1,1,1,"{1,3,4}",,,false,false,
C_JBT004,Jaybird Tunnel,,Stream,2,1,1,,JBT004,SLV007,23.6499078757616,,,1,1,1,"{1,3,4}",,,false,false,
C_JKSMD,Middle Yuba River,,Stream,2,1,1,,JKSMD,MFY046,1168.25398803238,,,1,1,1,"{1,3,4}",,,false,false,
C_JWB001,Jawbone Creek,,Stream,2,1,2,,JWB001,TUO102,1366.61381504347,,,1,1,1,"{1,3,4}",,,false,false,
C_KLR005,Knights Landing Ridgecut,,Canal,2,1,1,,KLR005,KLR006,2372.92543411989,,,1,1,1,"{1,3,4}",,,false,false,
C_KRT000,Kelly Ridge Tunnel/Powerhouse,,,2,1,1,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_KSWCK,Sacramento River below Keswick,,Stream,2,1,1,SAC,KSWCK,SAC299,1213.58765475222,,,1,1,1,"{1,3,4}",SAC_UPPER,UNIMP_SHAS,true,false,stream
C_LBC010,Lower Boardman Canal,,Canal,2,1,1,,LBC010,LBC030,32230.1093711634,,,1,1,1,"{1,3,4}",,,false,false,
C_LBC031,Lower Boardman Canal,,Canal,2,1,1,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_LBC032,Lower Boardman Canal,,Canal,2,1,1,,LBC032,LBC038,9506.43887271965,,,1,1,1,"{1,3,4}",,,false,false,
C_LBC040,Lower Boardman Canal,,Canal,2,1,1,,LBC040,LBC043,4724.56863736911,,,1,1,1,"{1,3,4}",,,false,false,
C_LBC047,Lower Boardman Canal,,Canal,2,1,1,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_LBC049,Lower Boardman Canal,,Canal,2,1,1,,LBC049,SCR002,16318.7883354036,,,1,1,1,"{1,3,4}",,,false,false,
C_LBN008,Los Banos Creek,,Stream,2,1,2,,LBN008,MSN004,12781.5276868464,,,1,1,1,"{1,3,4}",,,false,false,
C_LBN025,Los Banos Creek,,Stream,2,1,2,,LBN025,LBN012,21343.4548572043,,,1,1,1,"{1,3,4}",,,false,false,
C_LBUCK,Bucks Creek,,Stream,2,1,1,,LBUCK,BUK007,1714.3224746949,,,1,1,1,"{1,3,4}",,,false,false,
C_LCBRF,,,Stream,2,1,1,,LCBRF,TFR000,3687.63750296198,,,1,1,1,"{1,3,4}",,,false,false,
C_LCC024,Little Chico Creek,,Stream,2,1,1,,LCC024,LCC016,12559.4183906788,,,1,1,1,"{1,3,4}",,,false,false,
C_LCC029,Little Chico Creek,,Stream,2,1,1,,LCC029,LCC026,8046.81786419032,,,1,1,1,"{1,3,4}",,,false,false,
C_LDC007,Little Dry Creek,,Stream,2,1,1,,LDC007,BTC016,11970.9220546446,,,1,1,1,"{1,3,4}",,,false,false,
C_LDC029,Little Dry Creek,,Stream,2,1,1,,LDC029,LDC021,13433.3014082406,,,1,1,1,"{1,3,4}",,,false,false,
C_LJC010,Littlejohns Creek,,Stream,2,1,2,,LJC010,FCS007,23234.365578864,,,1,1,1,"{1,3,4}",,,false,false,
C_LKVLY,North Fork North Fork American River,,Stream,2,1,1,,LKVLY,NNA013,4688.49279483084,,,1,1,1,"{1,3,4}",,,false,false,
C_LLOYD,,,,2,1,,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_LLT000,Loon Lake Tunnel,,Canal,2,1,1,,LLT000,GERLE,6341.21230714803,,,1,1,1,"{1,3,4}",,,false,false,
C_LOONL,Gerle Creek,,Stream,2,1,1,,LOONL,GRL010,555.783990709658,,,1,1,1,"{1,3,4}",,,false,false,
C_LPC007,Little Panoche Creek,,Stream,2,1,2,,LPC007,LPC000,14261.7342290963,,,1,1,1,"{1,3,4}",,,false,false,
C_LRB004,Little Rubicon River,,Stream,2,1,1,,LRB004,LRB003,43.0723672296981,,,1,1,1,"{1,3,4}",,,false,false,
C_LRT000,Lohman Ridge Tunnel,,Canal,2,1,1,,LRT000,OGN005,6089.69991093228,,,1,1,1,"{1,3,4}",,,false,false,
C_LST004,Lost Creek,,Stream,2,1,1,,LST004,LST003,481.082877381115,,,1,1,1,"{1,3,4}",,,false,false,
C_LVC001,Lake Valley Canal,,Canal,2,1,1,,LVC001,DRM002,2340.65572544793,,,1,1,1,"{1,3,4}",,,false,false,
C_LWSTN,Trinity River,,Stream,2,1,1,SAC,LWSTN,TRN111,2003.55865665765,,,1,1,1,"{1,3,4}",TRINITY_RIVER,UNIMP_TRIN,false,false,reservoir_release
C_MAQ001,Mokelumne Aqueduct,,Canal,2,1,2,,MAQ001,MAQ012,16429.9960523322,,,1,1,1,"{1,3,4}",,,false,false,
C_MAQ057,Mokelumne Aqueduct,,Canal,2,1,1,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_MBT005,Milton-Bowman Tunnel,,Canal,2,1,1,,MBT005,BOWMN,4147.41792379088,,,1,1,1,"{1,3,4}",,,false,false,
C_MCD005,Merced River,,Stream,2,1,2,SJR,MCD005,MCD002,4108.90391096041,,,1,1,1,"{1,3,4}",UPPER_MERCED,UNIMP_ME,true,true,stream
C_MCD014,Merced River,,Stream,2,1,2,,MCD014,MCD009,8046.73604121327,,,1,1,1,"{1,3,4}",,,false,false,
C_MCD021,Merced River,,Stream,2,1,2,SJR,MCD021,MCD018,5613.36219018436,,,1,1,1,"{1,3,4}",UPPER_MERCED,UNIMP_ME,false,false,stream
C_MCD032,Merced River,,Stream,2,1,2,,MCD032,MCD028,6474.68631285839,,,1,1,1,"{1,3,4}",,,false,false,
C_MCD036,Merced River,,Stream,2,1,2,,MCD036,MCD033,5192.78887251395,,,1,1,1,"{1,3,4}",,,false,false,
C_MCD046,Merced River,,Stream,2,1,2,,MCD046,MCD042,7149.10668463822,,,1,1,1,"{1,3,4}",,,false,false,
C_MCD050,Merced River,,Stream,2,1,2,,MCD050,MCD048,3859.72342951099,,,1,1,1,"{1,3,4}",,,false,false,
C_MCD054,Merced River,,Stream,2,1,2,,MCD054,MCD052,4134.71871309814,,,1,1,1,"{1,3,4}",,,false,false,
C_MCD056,Merced River,,Stream,2,1,2,,MCD056,MCD055,1769.2561976236,,,1,1,1,"{1,3,4}",,,false,false,
C_MCW003,,,,2,1,,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_MDC006,Madera Canal,,Canal,2,1,2,,MDC006,MDC019,20362.6010158388,,,1,1,1,"{1,3,4}",,,false,false,
C_MDC032,Madera Canal,,Canal,2,1,2,,MDC032,CHW028,6254.4729748486,,,1,1,1,"{1,3,4}",,,false,false,
C_MDOTAE,,,,2,1,,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_MDS003,Modesto Main Canal,,Canal,2,1,2,,MDS003,MDSTO,21455.8730355639,,,1,1,1,"{1,3,4}",,,false,false,
C_MERLC,French Dry Creek,,Stream,2,1,1,,MERLC,FDC006,10275.2359825822,,,1,1,1,"{1,3,4}",,,false,false,
C_MFA023,Middle Fork American River,,Stream,2,1,1,,MFA023,MFA001,34847.7831611938,,,1,1,1,"{1,3,4}",,,false,false,
C_MFA025,Middle Fork American River,,Stream,2,1,1,,MFA025,MFA024,1020.69209463103,,,1,1,1,"{1,3,4}",,,false,false,
C_MFA035,Middle Fork American River,,Stream,2,1,1,,MFA035,MFA026,16272.740555293,,,1,1,1,"{1,3,4}",,,false,false,
C_MFA037,Middle Fork American River,,Stream,2,1,1,,MFA037,MFA036,597.003945948921,,,1,1,1,"{1,3,4}",,,false,false,
C_MFA040,Middle Fork American River,,Stream,2,1,1,,MFA040,MFA038,5971.01142678148,,,1,1,1,"{1,3,4}",,,false,false,
C_MFF019,Middle Fork Feather River,,Stream,2,1,1,,MFF019,SFF002,30435.4663381516,,,1,1,1,"{1,3,4}",,,false,false,
C_MFF088,Middle Fork Feather River,,Stream,2,1,1,,MFF088,MFF087,1690.1672721206,,,1,1,1,"{1,3,4}",,,false,false,
C_MFM001,Middle Fork Mokelumne River,,Stream,2,1,2,,MFM001,MOK088,2319.04394651284,,,1,1,1,"{1,3,4}",,,false,false,
C_MFM007,Middle Fork Mokelumne River,,Stream,2,1,2,,MFM007,MFM006,1126.47959571863,,,1,1,1,"{1,3,4}",,,false,false,
C_MFS012,Middle Fork Stanislaus River,,Stream,2,1,2,,MFS012,STN093,20067.655894906,,,1,1,1,"{1,3,4}",,,false,false,
C_MFS014,Middle Fork Stanislaus River,,Stream,2,1,2,,MFS014,MFS013,1593.21919682647,,,1,1,1,"{1,3,4}",,,false,false,
C_MFS016,Middle Fork Stanislaus River,,Stream,2,1,2,,MFS016,MFS015,1438.55803778062,,,1,1,1,"{1,3,4}",,,false,false,
C_MFS022,Middle Fork Stanislaus River,,Stream,2,1,2,,MFS022,MFS021,361.471185112371,,,1,1,1,"{1,3,4}",,,false,false,
C_MFT000,Middle Fork Tuolumne River,,Stream,2,1,2,,MFT000,SFT002,1325.68480053014,,,1,1,1,"{1,3,4}",,,false,false,
C_MFT004,Middle Fork Tunnel,,Canal,2,1,1,,MFT004,MFT011,11020.6581803713,,,1,1,1,"{1,3,4}",,,false,false,
C_MFY005,Middle Yuba River,,Stream,2,1,1,,MFY005,YUB039,7351.50266987405,,,1,1,1,"{1,3,4}",,,false,false,
C_MFY013,Middle Yuba River,,Stream,2,1,1,,MFY013,MFY012,158.872753235534,,,1,1,1,"{1,3,4}",,,false,false,
C_MFY045,Middle Yuba River,,Stream,2,1,1,,MFY045,MFY044,96.2595354786738,,,1,1,1,"{1,3,4}",,,false,false,
C_MIL002,Mills Creek,,Stream,2,1,2,,,,3819.7124833828,,,1,1,1,"{1,3,4}",,,false,false,
C_MIO010,Miocene Canal,,,2,1,1,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_MLC004,Mill Creek,,Stream,2,1,1,,MLC004,SAC228,6437.37601617424,,,1,1,1,"{1,3,4}",,,false,false,
C_MLRTN,San Joaquin River Friant Release,,Stream,2,1,2,SJR,MLRTN,SJR265,256.867035959378,,,1,1,1,"{1,3,4}",,,false,false,
C_MNT000,Mountain Tunnel,,,2,1,2,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_MNT020,Mountain Tunnel,,,2,1,2,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_MOC003,Moccasin Creek,,Stream,2,1,2,,MOC003,TUO073,4474.38306311703,,,1,1,1,"{1,3,4}",,,false,false,
C_MOK014,Mokelumne River,,Stream,2,1,1,,MOK014,MOK004,16953.8977748375,,,1,1,1,"{1,3,4}",,,false,false,
C_MOK022,Mokelumne River,,Stream,2,1,2,,MOK022,MOK019,4258.55330081545,,,1,1,1,"{1,3,4}",,,false,false,
C_MOK033,Mokelumne River,,Stream,2,1,2,,MOK033,MOK028,7387.27752122594,,,1,1,1,"{1,3,4}",,,false,false,
C_MOK035,Mokelumne River,,Stream,2,1,2,,MOK035,MOK034,1241.33483253939,,,1,1,1,"{1,3,4}",,,false,false,
C_MOK044,Mokelumne River,,Stream,2,1,2,,MOK044,MOK039,9790.07625447788,,,1,1,1,"{1,3,4}",,,false,false,
C_MOK055,Mokelumne River,,Stream,2,1,2,,MOK055,MOK050,8046.71995671398,,,1,1,1,"{1,3,4}",,,false,false,
C_MOK079,Mokelumne River,,Stream,2,1,2,,MOK079,PARDE,15093.3341926824,,,1,1,1,"{1,3,4}",,,false,false,
C_MOK088,Mokelumne River,,Stream,2,1,2,,MOK088,MOK082,8691.2063647305,,,1,1,1,"{1,3,4}",,,false,false,
C_MRM001,Shirland Canal/Mormon Ravine,,Stream,2,1,1,,MRM001,NFA011,743.127569867598,,,1,1,1,"{1,3,4}",,,false,false,
C_MSH015,Marsh Creek,,Stream,2,1,1,,MSH015,SJR009,24774.1506997278,,,1,1,1,"{1,3,4}",,,false,false,
C_MSN005,Mud Slough,,Stream,2,1,2,,MSN005,MSN004,2060.03472011224,,,1,1,1,"{1,3,4}",,,false,false,
C_MSS014,Mud Slough,,Stream,2,1,2,,MSS014,SAL017,21960.1924773249,,,1,1,1,"{1,3,4}",,,false,false,
C_NBA009,North Bay Aqueduct,,Canal,2,1,1,,NBA009,NBA011,2504.73792737919,,,1,1,1,"{1,3,4}",,,false,false,
C_NBA021,North Bay Aqueduct,,Canal,2,1,1,,NBA021,NBA027,9656.08330538328,,,1,1,1,"{1,3,4}",,,false,false,
C_NCM020,,,,2,1,,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_NCT001,NF Long Canyon Creek Diversion Tunnel,,,2,1,1,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_NCW001,,,,2,1,,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_NFA011,North Fork American River,,Stream,2,1,1,,NFA011,FOLSM,17622.9999412833,,,1,1,1,"{1,3,4}",,,false,false,
C_NFA019,North Fork American River,,Stream,2,1,1,,NFA019,NFA016,5531.73097220247,,,1,1,1,"{1,3,4}",,,false,false,
C_NFA048,North Fork American River,,Stream,2,1,1,,NFA048,NFA022,42836.3204355171,,,1,1,1,"{1,3,4}",,,false,false,
C_NFC005,North Fork Cache Creek,,Stream,2,1,1,,NFC005,CCH075,8316.15513936799,,,1,1,1,"{1,3,4}",,,false,false,
C_NFF008,North Fork Feather River,,Stream,2,1,1,,NFF008,FTR074,13059.1500048436,,,1,1,1,"{1,3,4}",,,false,false,
C_NFF028,North Fork Feather River,,Stream,2,1,1,,NFF028,NFF027,2226.1417527107,,,1,1,1,"{1,3,4}",,,false,false,
C_NFF030,North Fork Feather River,,Stream,2,1,1,,NFF030,NFF029,4870.15722793415,,,1,1,1,"{1,3,4}",,,false,false,
C_NFF035,North Fork Feather River,,Stream,2,1,1,,NFF037,NFF035,839.78053752293,,,1,1,1,"{1,3,4}",,,false,false,
C_NFF038,North Fork Feather River,,Stream,2,1,1,,NFF038,NFF037,2841.38458859579,,,1,1,1,"{1,3,4}",,,false,false,
C_NFF045,North Fork Feather River,,Stream,2,1,1,,NFF045,NFF039,8197.48944414345,,,1,1,1,"{1,3,4}",,,false,false,
C_NFF048,North Fork Feather River,,Stream,2,1,1,,NFF048,NFF046,1099.96325762067,,,1,1,1,"{1,3,4}",,,false,false,
C_NFF057,North Fork Feather River,,Stream,2,1,1,,NFF057,NFF050,9875.93379415681,,,1,1,1,"{1,3,4}",,,false,false,
C_NFF059,North Fork Feather River,,Stream,2,1,1,,NFF059,NFF058,660.772792975868,,,1,1,1,"{1,3,4}",,,false,false,
C_NFF069,North Fork Feather River,,Stream,2,1,1,,NFF069,NFF060,2135.1790485176,,,1,1,1,"{1,3,4}",,,false,false,
C_NFM006,North Fork Mokelumne River,,Stream,2,1,2,,NFM006,MOK088,10792.3397968599,,,1,1,1,"{1,3,4}",,,false,false,
C_NFM012,North Fork Mokelumne River,,Stream,2,1,2,,NFM012,NFM010,2041.64512876321,,,1,1,1,"{1,3,4}",,,false,false,
C_NFM026,North Fork Mokelumne River,,,2,1,2,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_NFM029,North Fork Mokelumne River,,Stream,2,1,2,,NFM029,NFM024,7950.77115213188,,,1,1,1,"{1,3,4}",,,false,false,
C_NFS005,North Fork Stanislaus River,,Stream,2,1,2,,NFS005,NFS003,4192.60023869756,,,1,1,1,"{1,3,4}",,,false,false,
C_NFS008,North Fork Stanislaus River,,Stream,2,1,2,,NFS008,NFS007,351.297328472126,,,1,1,1,"{1,3,4}",,,false,false,
C_NFS027,North Fork Stanislaus River,,Stream,2,1,2,,NFS027,NFS009,29059.213594602,,,1,1,1,"{1,3,4}",,,false,false,
C_NFT008,North Fork Tuolumne River,,Stream,2,1,2,,NFT008,TUO081,13219.0188688902,,,1,1,1,"{1,3,4}",,,false,false,
C_NFY017,North Yuba River,,Stream,2,1,1,,NFY017,NBLDB,24509.3613863969,,,1,1,1,"{1,3,4}",,,false,false,
C_NHGAN,Calaveras River,,Stream,2,1,2,,NHGAN,CLV044,1223.40247313584,,,1,1,1,"{1,3,4}",,,false,false,
C_NLC003,North Fork Long Canyon Creek,,Stream,2,1,1,,NLC003,NLC002,257.692440898706,,,1,1,1,"{1,3,4}",,,false,false,
C_NMA003,North Fork of Middle Fork American River,,Stream,2,1,1,,NMA003,MFA024,4185.25544901276,,,1,1,1,"{1,3,4}",,,false,false,
C_NNA013,North Fork North Fork American River,,Stream,2,1,1,,NNA013,NFA054,21477.0193208812,,,1,1,1,"{1,3,4}",,,false,false,
C_NTOMA_DELTA,American River Delta,,,2,1,1,,,,,,,0,1,1,"{1,3,4}",,,false,false,
C_OAK001,Oakdale South Main Canal,,Canal,2,1,2,,OAK001,OAK020,31441.3167167098,,,1,1,1,"{1,3,4}",,,false,false,
C_OGN005,Oregon Creek,,Stream,2,1,1,,OGN005,OGN004,143.28586710344,,,1,1,1,"{1,3,4}",,,false,false,
C_OMR013A,Old/Middle Rivers,,Stream,2,1,1,,OMR013,OMR002,17852.0493333342,,,1,1,1,"{1,3,4}",,,false,false,
C_OMR014,Old/Middle Rivers,,Stream,2,1,1,SJR,OMR014,OMR013,525.48874989184,,,1,1,1,"{1,3,4}",SAN_JOAQUIN,UNIMP_SJ,false,false,stream
C_OMR021,Old/Middle Rivers,,Stream,2,1,1,,OMR021,OMR018,4236.08382201781,,,1,1,1,"{1,3,4}",,,false,false,
C_OMR024B,Victoria Canal,,Canal,2,1,1,,OMR024,VCT002,3218.6944926819,,,1,1,1,"{1,3,4}",,,false,false,
C_OMR028,Old/Middle Rivers,,Stream,2,1,1,,OMR028,OMR027,1456.8828847583,,,1,1,1,"{1,3,4}",,,false,false,
C_OROVL,Feather River,,Stream,2,1,1,SAC,OROVL,FTR072,968.261438381566,,,1,1,1,"{1,3,4}",UPPER_FEATHER,UNIMP_OROV,false,false,reservoir_release
C_ORT001,Orestimba Creek,,Stream,2,1,2,,ORT001,SJR106,2118.90725820487,,,1,1,1,"{1,3,4}",,,false,false,
C_ORT014,Orestimba Creek,,Stream,2,1,2,,ORT014,ORT009,8046.73606844219,,,1,1,1,"{1,3,4}",,,false,false,
C_OWN040,Owens Creek,,Stream,2,1,2,,OWN040,OWN011,45606.3223230962,,,1,1,1,"{1,3,4}",,,false,false,
C_OYS001,Oyster Creek,,Stream,2,1,1,,OYS001,SLF014,1382.44155758886,,,1,1,1,"{1,3,4}",,,false,false,
C_PCRST,South Fork Stanislaus River,,Stream,2,1,2,,PCRST,SFS033,2032.80880627472,,,1,1,1,"{1,3,4}",,,false,false,
C_PHP000,Philadelphia Ditch,,Canal,2,1,2,,PHP000,MFS015,9220.57505027365,,,1,1,1,"{1,3,4}",,,false,false,
C_PLC007,Pilot Creek,,Stream,2,1,1,,PLC007,PLC006,243.427090396854,,,1,1,1,"{1,3,4}",,,false,false,
C_PLM001,Plum Creek (S. Fk. American),,Stream,2,1,1,,PLM001,SFA059,2194.25001766948,,,1,1,1,"{1,3,4}",,,false,false,
C_PSC003,Putah South Canal,,Canal,2,1,1,,PSC003,PSC006,4962.47599989508,,,1,1,1,"{1,3,4}",,,false,false,
C_PSC013,Putah South Canal,,Canal,2,1,1,,PSC013,PSC015,3273.41301131809,,,1,1,1,"{1,3,4}",,,false,false,
C_PSC017,Putah South Canal,,Canal,2,1,1,,PSC017,PSC020,4520.70979286502,,,1,1,1,"{1,3,4}",,,false,false,
C_PSC024,Putah South Canal,,Canal,2,1,1,,PSC024,PSC033,16084.0645279196,,,1,1,1,"{1,3,4}",,,false,false,
C_PTH011,Putah Creek,,Stream,2,1,1,,PTH011,PTH007,6061.14958345941,,,1,1,1,"{1,3,4}",,,false,false,
