from_element_id,to_element_id,from_element_code,to_element_code,created_by,connection_type,source_id
1553,1450,R_08N_PA_CBD044,CBD044,2,return,5
820,1450,R_07S_NA_CBD044,CBD044,2,return,5
5515,2107,SG278_SAC174_51,SAC174,2,operational,5
3634,985,SG279_SAC168_51,SAC168,2,operational,5
6846,2818,SG280_SAC162_51,SAC162,2,operational,5
4535,966,SG281_SAC154_51,SAC154,2,operational,5
4904,2494,SG282_SAC148_51,SAC148,2,operational,5
3581,2212,SG294_SAC141_53,SAC141,2,operational,5
6027,2474,SG295_SAC134_53,SAC134,2,operational,5
5109,51,SG296_SAC129_53,SAC129,2,operational,5
5236,1450,SG319_CBD044_55,CBD044,2,operational,5
5809,1173,SG320_CBD041_55,CBD041,2,operational,5
4619,2549,SG321_CBD037_55,CBD037,2,operational,5
2494,2052,SAC148,C_SAC148,2,operational,5
414,2549,C_CBD038,CBD037,2,operational,5
414,2336,C_CBD038,CBD038,2,operational,5
6447,2943,"07N_NU CalWater (Willows), Small Communities",R_07N_NU_CBD049,2,operational,5
2943,2478,R_07N_NU_CBD049,CBD049,2,return,5
854,1450,R_07N_PA_CBD044,CBD044,2,return,5
1058,760,SAC182,C_SAC182,2,operational,5
2616,204,SAC178,C_SAC178,2,operational,5
4061,1058,SG276_SAC182_51,SAC182,2,operational,5
5781,2616,SG277_SAC178_51,SAC178,2,operational,5
1309,91,C_GCC027,GCC032,2,operational,5
886,1309,GCC027,C_GCC027,2,operational,5
2159,1092,GCC042,C_GCC042,2,operational,5
1747,2336,SR_08S_CBD038,CBD038,2,storage_return,5
676,2964,C_BTC045,BTC043,2,operational,5
776,620,C_BTC036,BTC032,2,operational,5
1301,2000,C_BTC032,BTC029,2,operational,5
563,2335,C_LDC007,BTC016,2,operational,5
689,4244,D_BTC043_10_NA,10_NA Non-District,2,diversion,5
1762,620,D_WEC005_BTC032,BTC032,2,diversion,5
1900,5344,D_BTC012_09_SA2,"09_SA2 RD 1004, Carter MWC, Jack Baber, Misc. Settlement Contractors",2,diversion,5
2378,1606,C_BTC041,BTC036,2,operational,5
2333,877,C_BTC012,BTC007,2,operational,5
1902,2378,BTC041,C_BTC041,2,operational,5
2856,676,BTC045,C_BTC045,2,operational,5
1606,776,BTC036,C_BTC036,2,operational,5
620,1301,BTC032,C_BTC032,2,operational,5
2000,1156,BTC029,C_BTC029,2,operational,5
1231,964,BTC003,C_BTC003,2,operational,5
2964,689,BTC043,D_BTC043_10_NA,2,operational,5
2630,920,BTC012,D_BTC012_CRK005,2,operational,5
1030,4748,D_MTC000_09_SA1,09_SA1 Pacific Realty Associates (M&T Chico Ranch),2,diversion,5
1244,4748,D_ESL008_09_SA1,09_SA1 Pacific Realty Associates (M&T Chico Ranch),2,diversion,5
4748,809,09_SA1 Pacific Realty Associates (M&T Chico Ranch),R_09_SA1_LCC026,2,operational,5
1042,620,R_10_NA_BTC032,BTC032,2,return,5
1042,4244,R_10_NA_BTC032,10_NA Non-District,2,return,5
1606,1484,BTC036,D_BTC036_10_NA,2,operational,5
1819,372,SAC193,C_SAC193,2,operational,5
596,1805,SAC185,C_SAC185,2,operational,5
1946,1231,SP_SAC188_BTC003,BTC003,2,operational,5
68,1244,ESL008,D_ESL008_09_SA1,2,operational,5
506,194,C_TTC002,BTC060,2,operational,5
2964,418,BTC043,C_BTC043,2,operational,5
850,2422,R_09_PR_LCC016,LCC016,2,return,5
809,1671,R_09_SA1_LCC026,LCC026,2,return,5
1332,2422,R_09_NA_LCC016,LCC016,2,return,5
65,877,R_09_SA2_BTC007,BTC007,2,return,5
1945,68,D_BTC045_ESL008,ESL008,2,diversion,5
2856,1945,BTC045,D_BTC045_ESL008,2,operational,5
4058,2964,SG283_BTC043_52,BTC043,2,operational,5
6276,2000,SG286_BTC029_52,BTC029,2,operational,5
3833,1329,SG287_BTC024_52,BTC024,2,operational,5
6717,2591,SG288_BTC018_52,BTC018,2,operational,5
4719,1231,SG291_BTC003_52,BTC003,2,operational,5
1437,2856,C_BTC048,BTC045,2,operational,5
73,143,C_BTC018,BTC017,2,operational,5
2374,1231,SP_SAC193_BTC003,BTC003,2,operational,5
2703,1378,I_LCC038,LCC038,2,operational,5
753,2964,D_LCC038_BTC043,BTC043,2,diversion,5
1378,753,LCC038,D_LCC038_BTC043,2,operational,5
1453,596,SR_09_SAC185,SAC185,2,storage_return,5
4452,2264,SG289_BTC015_52,BTC015,2,operational,5
1263,143,SR_11_BTC017,BTC017,2,storage_return,5
97,1671,C_LCC029,LCC026,2,operational,5
1378,2789,LCC038,C_LCC038,2,operational,5
2910,2131,C_LCC026,LCC024,2,operational,5
1671,2910,LCC026,C_LCC026,2,operational,5
2789,962,C_LCC038,LCC029,2,operational,5
2422,602,LCC016,C_LCC016,2,operational,5
962,720,LCC029,D_LCC029_09_SA1,2,operational,5
38,143,R_11_PR_BTC017,BTC017,2,return,5
4583,38,11_PR Upper Butte Basin Wildlife Area Howard Slough Unit and Little Dry Creek,R_11_PR_BTC017,2,operational,5
962,97,LCC029,C_LCC029,2,operational,5
720,4748,D_LCC029_09_SA1,09_SA1 Pacific Realty Associates (M&T Chico Ranch),2,diversion,5
68,2019,ESL008,C_ESL008,2,operational,5
2019,2131,C_ESL008,LCC024,2,operational,5
2131,2391,LCC024,D_LCC024_09_NA,2,operational,5
834,2422,C_LCC024,LCC016,2,operational,5
2131,834,LCC024,C_LCC024,2,operational,5
1402,2498,R_11_SA1_CRK005,CRK005,2,return,5
1915,1231,R_17N_NR_BTC003,BTC003,2,return,5
1845,2244,D_THRMA_JBC000,JBC000,2,diversion,5
1935,138,C_FTR036,FTR031,2,operational,5
2522,6088,D_FTR059_12_SA,12_SA Misc. FRSA Diverters,2,diversion,5
2732,1395,R_12_NA_HON004,HON004,2,return,5
1868,1764,C_FTR059,FTR053,2,operational,5
1313,1406,R_13_NA_RFS13,RFS13,2,return,5
2506,1570,D_SFF011_MNRRH,MNRRH,2,diversion,5
