short_code,river,arc_id,arc_type_id,name,description,type,sub_type,from_node_id,to_node_id,hydrologic_region_id,shape_length,model_source_id,source_id,is_reversible,flow_capacity,parent_arc_id,integration_status_id,network_version_id,is_active,connectivity_status,has_gis
C_SAC281,SAC,C_SAC281,8.0,Sacramento River,,CH,ST,,,1,5809.5081663777,1,4,,,,1,12,True,connected,True
C_SAC287,SAC,C_SAC287,8.0,Sacramento River,,CH,ST,,,1,8934.33030039032,1,4,,,,1,12,True,connected,True
C_SAC289,SAC,C_SAC289,8.0,Sacramento River,,CH,ST,,,1,4175.62398301512,1,4,,,,1,12,True,connected,True
C_SAC294,SAC,C_SAC294,8.0,Sacramento River,,CH,ST,,,1,8547.94920782837,1,4,,,,1,12,True,connected,True
C_SAC296,SAC,C_SAC296,8.0,Sacramento River,,CH,ST,,,1,2105.56345520844,1,4,,,,1,12,True,connected,True
C_SAC299,SAC,C_SAC299,8.0,Sacramento River,,CH,ST,,,1,4634.64143187482,1,4,,,,1,12,True,connected,True
C_SHSTA,SAC,C_SHSTA,8.0,Sacramento River,,CH,ST,,,1,14053.8007973605,1,4,,,,1,12,True,connected,True
C_STN009,STN,C_STN009,8.0,Stony Creek,,CH,ST,,,1,8546.31641618213,1,4,,,,1,12,True,connected,True
C_FTR008,FTR,C_FTR008,8.0,Feather River,,CH,ST,,,1,8046.71997680753,1,4,,,,1,12,True,connected,True
C_SBP012,SBP,C_SBP012,2.0,Sutter Bypass,,CH,BP,,,1,17322.087891181,1,4,,,,1,12,True,connected,True
C_CSL005b,CSL,C_CSL005b,8.0,Lindsey Slough,,CH,ST,,,1,13787.3309046164,1,4,,,,1,12,True,connected,True
C_YUB006,YUB,C_YUB006,8.0,Yuba River,,CH,ST,,,1,4828.03203248246,1,4,,,,1,12,True,connected,True
C_YUB039,YUB,C_YUB039,8.0,Yuba River/North Yuba River,,CH,ST,,,1,9318.75852527993,1,4,,,,1,12,True,connected,True
D_STH000_ABN027,,D_STH000_ABN027,11.0,,,D,CL,,,1,422.143450391046,1,4,,,,1,12,True,connected,True
C_LBC001,LBC,C_LBC001,4.0,Lower Boardman Canal,,CH,CL,,,1,14484.2724136967,1,4,,,,1,12,True,connected,True
