short_code,source_mask,geopackage_source_id,xml_source_id,has_spatial_data,has_connectivity_data,schematic_type,name,type,sub_type,shape_length,hydrologic_region_id,network_version_id,is_active,created_by
D_DMC016_WTPJJO,3,4.0,5.0,True,True,arc,,D,,952.551099999808,2.0,12,True,2
C_SJR242,3,4.0,5.0,True,True,arc,San Joaquin River,CH,ST,11265.4305011962,2.0,12,True,2
D_WTPBNC_BNCIA,3,4.0,5.0,True,True,arc,,D,,2500.0,1.0,12,True,2
SR_64_EBP032,3,4.0,5.0,True,True,arc,,SR,,2499.99994010495,2.0,12,True,2
C_CMT000,3,4.0,5.0,True,True,arc,Camptonville Tunnel,CH,CL,9282.49273934915,1.0,12,True,2
EBP042,3,4.0,5.0,True,True,node,EBP042,CH,BYP,,2.0,12,True,2
C_DRC005,3,4.0,5.0,True,True,arc,Deer Creek,CH,ST,7752.28658338309,1.0,12,True,2
D_CLR009_02_NA,3,4.0,5.0,True,True,arc,,D,,28746.4516879916,1.0,12,True,2
SLO000,3,4.0,5.0,True,True,node,SLO000,CH,GWO,,2.0,12,True,2
R_72_NA1_SJR106,3,4.0,5.0,True,True,arc,,RT,,7675.51942489703,2.0,12,True,2
CAA012,3,4.0,5.0,True,True,node,CAA012,CH,CNL,,2.0,12,True,2
LST003,3,4.0,5.0,True,True,node,LST003,CH,SG,,1.0,12,True,2
EAWWTP,3,4.0,5.0,True,True,node,EAWWTP,WWTP,,,1.0,12,True,2
C_CCH012,3,4.0,5.0,True,True,arc,Cache Creek,CH,ST,10342.6264774848,1.0,12,True,2
MFY044,3,4.0,5.0,True,True,node,MFY044,CH,SG,,1.0,12,True,2
YUB002,3,4.0,5.0,True,True,node,YUB002,CH,SG,,1.0,12,True,2
C_SAC250,3,4.0,5.0,True,True,arc,Sacramento River,CH,ST,4215.11404055275,1.0,12,True,2
C_SJR062,3,4.0,5.0,True,True,arc,San Joaquin River,CH,ST,9078.33622723155,2.0,12,True,2
SP_EBP041_SJR145,3,4.0,5.0,True,True,arc,Mariposa Bypass,SP,BP,7054.40116830224,2.0,12,True,2
R_08N_PA_CBD044,3,4.0,5.0,True,True,arc,,RT,,5814.72549999878,1.0,12,True,2
C_SAC259,3,4.0,5.0,True,True,arc,Sacramento River,CH,ST,2783.01124799203,1.0,12,True,2
D_FTR014_16_SA,3,4.0,5.0,True,True,arc,,D,,2096.5828999998,1.0,12,True,2
D_LOONL_LLT000,3,4.0,5.0,True,True,arc,,D,NS,3415.66539999843,1.0,12,True,2
TGR001,3,4.0,5.0,True,True,node,TGR001,CH,SG,,2.0,12,True,2
DER018,3,4.0,5.0,True,True,node,DER018,CH,STM,,1.0,12,True,2
SR_08N_SAC185,3,4.0,5.0,True,True,arc,,SR,,2500.00007079453,1.0,12,True,2
SAC085,3,4.0,5.0,True,True,node,SAC085,CH,STM,,1.0,12,True,2
D_SJR116_72_NA1,3,4.0,5.0,True,True,arc,,D,,1489.23320779488,2.0,12,True,2
C_SAC030,3,4.0,5.0,True,True,arc,Sacramento River,CH,ST,973.303383042203,1.0,12,True,2
C_YBP011,3,4.0,5.0,True,True,arc,Yolo Bypass,CH,BP,6437.38883529347,1.0,12,True,2
C_CBD037,3,4.0,5.0,True,True,arc,Colusa Basin Drainage Canal,CH,CL,9442.16401817827,1.0,12,True,2
C_DED035,3,4.0,5.0,True,True,arc,Deadman Creek,CH,ST,4828.04165761101,2.0,12,True,2
