id,calsim_id,name,description,reservoir_entity_id,variable_type,is_aggregate,aggregated_variable_ids,trigger_threshold,unit_id,temporal_scale_id,variable_version_id,variable_id,source_ids,created_by,updated_by
392,C_SHSTA_NCF,Shasta Normal Release,Normal controlled release from Shasta (≤ release capacity),66,release_normal,false,,,2,3,1,7fc99d7a-63aa-4cad-9326-94009e5d357a,"{1,3,4}",1,
393,C_SHSTA_FLOOD,Shasta Flood Spill,Flood spill from Shasta (above release capacity),66,release_flood,false,,,2,3,1,39e566a5-681b-4d13-985e-8cc124e76768,"{1,3,4}",1,
394,C_SILVR,Silver Total Release,Total release from Silver,67,release_total,false,,,2,3,1,1ef5fdfa-88a8-4092-b1ff-746d08f546fe,"{1,3,4}",1,
395,C_SILVR_NCF,Silver Normal Release,Normal controlled release from Silver (≤ release capacity),67,release_normal,false,,,2,3,1,96e03de8-2d1e-4103-b42d-5da6bc5144b1,"{1,3,4}",1,
396,C_SILVR_FLOOD,Silver Flood Spill,Flood spill from Silver (above release capacity),67,release_flood,false,,,2,3,1,da5834dd-55c9-4541-bfc2-6543b75b622b,"{1,3,4}",1,
397,C_SLTSP,Salt Springs Total Release,Total release from Salt Springs,68,release_total,false,,,2,3,1,6f620172-22c1-4568-8b95-967a58a9f6a5,"{1,3,4}",1,
398,C_SLTSP_NCF,Salt Springs Normal Release,Normal controlled release from Salt Springs (≤ release capacity),68,release_normal,false,,,2,3,1,e6a558dd-c1dd-4119-bec7-14b4e2b22b31,"{1,3,4}",1,
399,C_SLTSP_FLOOD,Salt Springs Flood Spill,Flood spill from Salt Springs (above release capacity),68,release_flood,false,,,2,3,1,5217fe20-0439-4c06-897b-80d2d14583a3,"{1,3,4}",1,
400,C_SLUIS,San Luis Total Release,Total release from San Luis,69,release_total,false,,,2,3,1,ab55590e-5290-402a-af9b-ad9b5a422d47,"{1,3,4}",1,
401,C_SLUIS_NCF,San Luis Normal Release,Normal controlled release from San Luis (≤ release capacity),69,release_normal,false,,,2,3,1,f70a467e-16e6-4ba8-8311-dfb0a841b48c,"{1,3,4}",1,
402,C_SLUIS_FLOOD,San Luis Flood Spill,Flood spill from San Luis (above release capacity),69,release_flood,false,,,2,3,1,6e849a05-b24e-4ac3-9c27-cc2648f04d63,"{1,3,4}",1,
403,C_SLUIS_CVP,San Luis CVP Total Release,Total release from San Luis CVP,70,release_total,false,,,2,3,1,95b9a15c-94fb-404b-b298-09fa470b51f0,"{1,3,4}",1,
404,C_SLUIS_CVP_NCF,San Luis CVP Normal Release,Normal controlled release from San Luis CVP (≤ release capacity),70,release_normal,false,,,2,3,1,f72abbbf-b3c9-4cc4-bc37-ade8adeb6ec1,"{1,3,4}",1,
405,C_SLUIS_CVP_FLOOD,San Luis CVP Flood Spill,Flood spill from San Luis CVP (above release capacity),70,release_flood,false,,,2,3,1,725f1d49-bdb5-4613-ad2b-3fd0342ca981,"{1,3,4}",1,
